img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3
Football,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_football_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_football_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\football_img3.png,Ballon de football,Ballon de football,Ballon de football
Garbage Can,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_garbage can_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_garbage can_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\garbage can_img3.png,Nez,Nez,Poubelle
Gas Pump,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_gas pump_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_gas pump_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\gas pump_img3.png,Robot,Robot,Pompe à essence
Gate,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_gate_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_gate_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\gate_img3.png,Sauterelle,Sauterelle,Barrière
Gift,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_gift_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_gift_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\gift_img3.png,Cadeau,Cadeau,Cadeau
Grapes,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_grapes_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_grapes_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\grapes_img3.png,Pissenlit,Pissenlit,Raisins
Hamburger,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_hamburger_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_hamburger_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\hamburger_img3.png,Sifflet,Sifflet,Hamburger
Iron,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_iron_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_iron_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\iron_img3.png,Veste,Veste,Fer
Key,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_key_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_key_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\key_img3.png,Clé,Clé,Clé
Kite,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_kite_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_kite_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\kite_img3.png,Cerf-volant,Cerf-volant,Cerf-volant
Ladybug,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_ladybug_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_ladybug_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\ladybug_img3.png,Coccinelle,Coccinelle,Coccinelle
Lamp,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_lamp_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_lamp_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\lamp_img3.png,Lampe,Lampe,Lampe
Lantern,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_lantern_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_lantern_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\lantern_img3.png,Lanterne,Lanterne,Lanterne
Mailbox,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_mailbox_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_mailbox_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\mailbox_img3.png,Boîte aux lettres,Boîte aux lettres,Boîte aux lettres
Monkey,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_monkey_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_monkey_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\monkey_img3.png,Scorpion,Scorpion,Singe
Mouse,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_mouse_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_mouse_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\mouse_img3.png,Souris,Souris,Souris
Onion,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_onion_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_onion_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\onion_img3.png,Poire,Poire,Oignon
Palm Tree,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_palm tree_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_palm tree_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\palm tree_img3.png,Pudding,Pudding,Palmier
Pan,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_pan_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_pan_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\pan_img3.png,Chaton,Chaton,Poêle
Penguin,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_penguin_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_penguin_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\penguin_img3.png,Pingouin,Pingouin,Pingouin
Radio,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_radio_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_radio_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\radio_img3.png,Radio,Radio,Radio
Ring,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_ring_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_ring_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\ring_img3.png,Déjeuner,Déjeuner,Bague
Rocket,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_rocket_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_rocket_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\rocket_img3.png,Fusée,Fusée,Fusée
Sailboat,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_sailboat_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_sailboat_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\sailboat_img3.png,Terrain de golf,Terrain de golf,Voilier
Scissors,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_scissors_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_scissors_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\scissors_img3.png,Café,Café,Ciseaux
Snail,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_snail_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_snail_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\snail_img3.png,Coquillage,Coquillage,Escargot
Snake,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_snake_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_snake_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\snake_img3.png,Châtaigne,Châtaigne,Serpent
Strawberry,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_strawberry_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_strawberry_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\strawberry_img3.png,Fraise,Fraise,Fraise
Sunflower,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_sunflower_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_sunflower_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\sunflower_img3.png,Tournesol,Tournesol,Tournesol
Swing Set,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_swing set_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_swing set_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\swing set_img3.png,Étang,Étang,Balançoires
Telephone,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_telephone_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_telephone_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\telephone_img3.png,Bouteille d'encre,Bouteille d'encre,Téléphone
Tennis Racquet,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_tennis racquet_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_tennis racquet_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\tennis racquet_img3.png,Raquette de tennis,Raquette de tennis,Raquette de tennis
Tent,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_tent_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_tent_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\tent_img3.png,Tente,Tente,Tente
Toilet,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_toilet_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_toilet_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\toilet_img3.png,Vêtement,Vêtement,Toilette
Trumpet,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_trumpet_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_trumpet_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\trumpet_img3.png,Boucle de ceinture,Boucle de ceinture,Trompette
Turkey,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_turkey_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_turkey_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\turkey_img3.png,0,0,Dinde
Turtle,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_turtle_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_turtle_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\turtle_img3.png,Igloo,Igloo,Tortue
Umbrella,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_umbrella_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_umbrella_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\umbrella_img3.png,Parapluie,Parapluie,Parapluie
Washing Machine,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_washing machine_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_washing machine_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\washing machine_img3.png,Colis,Colis,Laveuse
Windmill,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_windmill_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_windmill_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\windmill_img3.png,Moulin,Moulin,Moulin
